,,,,Irish Grid,,,,,
Cork,2301,BANTRY (DONEMARK),24,100400,50700,51.7,-9.437,2002,2007
Cork,1801,BANTRY (DROMLEIGH),67,99800,47800,51.671,-9.443,1992,1996
Cork,401,BANTRY (DRUMCLUGH),146,106300,51800,51.707,-9.353,1948,1952
Cork,501,BANTRY (GLANCREAGH),174,107900,52700,51.718,-9.333,1954,1957
Cork,2101,BANTRY (ROOSKA),30,92400,45200,51.643,-9.553,1994,1996
Cork,1201,BANTRY (ST.JOSEPH'S HOSP.),46,100100,49000,51.684,-9.44,1974,1990
Cork,301,BANTRY (VOC.SCH.),5,99600,48600,51.675,-9.451,1941,1973
Cork,2401,BANTRY-Letterlickey,91,100100,43500,51.635,-9.439,2009,2012
Cork,2501,BANTRY-Maulikeeve,156,105795,54450,51.734,-9.359,2015,
Cork,2201,BANTRY_(Shandrum),80,102070,52175,51.708,-9.417,1999,
Cork,7006,BARTLEMY,98,181900,87600,52.037,-8.259,1992,
Cork,5402,BELGOOLY,38,165785,53425,51.726,-8.491,2004,
Cork,5906,BOHERBOE,183,125000,102700,52.169,-9.091,1985,1990
Cork,1206,BOHERBUE G.S.,201,126600,101300,52.155,-9.07,1944,1972
Cork,1606,BUTTEVANT G.S.,96,154100,108700,52.223,-8.67,1944,2002
Cork,101,Bantry(The_old_rectory),61,98600,48900,51.683,-9.217,1936,1940
Cork,3002,CAPE CLEAR,9,95300,22100,51.438,-9.503,1963,1963
Cork,3604,CARRIGADROHID_(GenStn),65,140640,71950,51.892,-8.858,1953,
Cork,6004,CARRIGALINE (KILNAGLEARY),24,174000,61600,51.804,-8.372,1992,
Cork,3204,CARRIGALINE G.S.,6,173000,62600,51.809,-8.388,1950,1994
Cork,4104,CARRIGNAVAR COLL.,107,167700,81300,51.983,-8.469,1966,1973
Cork,2204,CARRIGNAVAR G.S.,116,167200,82000,51.987,-8.473,1944,1966
Cork,4504,CARRIGTUOHILL (TIBBOTSTOWN),119,181100,76300,51.937,-8.272,1976,1979
Cork,204,CARRIGTUOHILL RECTORY,33,188500,73800,51.917,-8.167,1938,1943
Cork,8606,CASTLELYONS (BALLYMACSIMON),72,189400,89900,52.057,-8.153,2005,
Cork,5706,CASTLEMAGNER,98,142500,103800,52.176,-8.838,1984,0
Cork,4604,CASTLEMARTYR (DOWER BR.),6,198000,72900,51.905,-8.024,1976,1985
Cork,6704,CASTLEMARTYR (KILLAMUCKY),18,195300,73900,51.917,-8.067,2000,2004
Cork,2104,CASTLEMARTYR G.S.,14,196100,73200,51.907,-8.054,1944,1965
Cork,7504,CASTLEMARTYR-Dower_Pumphouse,10,197955,72925,51.905,-8.025,2016,
Cork,601,CASTLETOWNBERE (FILANE WEST),168,71500,47800,51.667,-9.854,1948,2003
Cork,1401,CASTLETOWNBERE (SOUTH DRUM),20,66900,45000,51.638,-9.92,1981,1982
Cork,1001,CASTLETOWNBERE G.S.,5,67600,45900,51.65,-9.908,1952,1998
Cork,1501,CASTLETOWNBERE SOUTHDROUM II,27,67000,45000,51.638,-9.919,1982,2006
Cork,6106,CASTLETOWNROCHE (NAGLESBOROUGH),67,167400,103400,52.175,-8.473,1985,1986
Cork,602,CASTLETOWNSHEND (GLENBARRAHANE),30,119100,31800,51.533,-9.167,1940,1943
Cork,702,CASTLETOWNSHEND (SEAFIELD),12,119100,31800,51.533,-9.167,1940,1943
Cork,3702,CASTLETOWNSHEND (THE ROCKET HOUS,8,118500,30900,51.522,-9.171,1981,2000
Cork,1102,CASTLETOWNSHEND G.S.,40,118500,31200,51.523,-9.172,1950,1960
Cork,3302,CLONAKILTY (DUNOWEN HSE.),55,137200,34000,51.553,-8.903,1969,1971
Cork,802,CLONAKILTY (SHANNON VALE),41,138900,44500,51.65,-8.883,1957,1966
Cork,2702,CLONAKILTY G.S.,18,138500,41800,51.622,-8.886,1950,1964
Cork,1802,CLONAKILTY_(Agric.Coll.),79,141395,42310,51.625,-8.842,1948,1994
Cork,5202,CLONAKILTY_(Castleview),38,142865,44200,51.642,-8.822,1999,
Cork,4704,CLOYNE (BALLYMACANDRICK),64,190400,64300,51.825,-8.137,1976,1990
Cork,6304,CLOYNE (LISANLEY),55,190600,67100,51.854,-8.135,1996,
Cork,304,CLOYNE (THE DEANERY),24,191800,66900,51.853,-8.118,1935,1951
Cork,3104,CLOYNE G.S.,26,191500,67800,51.858,-8.121,1950,1988
Cork,1904,COACHFORD G.S.,68,145500,73200,51.905,-8.788,1942,1991
Cork,4906,CONNA (CARRIGEEN HILL),70,195500,95500,52.107,-8.059,1981,2002
Cork,8406,CONNA (CASTLEVIEW),30,195600,94500,52.102,-8.058,2003,
Cork,6404,COOLEA (MILLEENS),198,114400,76500,51.934,-9.24,1999,2009
Cork,302,COOLKELURE HOUSE,158,117800,53300,51.722,-9.187,1948,1948
Cork,1901,COOMCLOGH,240,112595,58085,51.768,-9.267,1993,
Cork,4204,CORK (CLOVER HILL),20,171100,70400,51.884,-8.418,1975,2014
Cork,5504,CORK (DOUGLAS),50,170800,69400,51.872,-8.421,1984,2014
Cork,5104,CORK (FOTA ISLAND),14,179200,71400,51.89,-8.302,1977,1990
Cork,5904,CORK (FOTA ISLAND) II,12,180000,72000,51.9,-8.287,1990,1998
Cork,404,CORK (ROCHELLE SCHOOLS),15,167100,69300,51.872,-8.473,1936,1959
Cork,904,CORK (UNIV.COLL.),17,166300,71300,51.889,-8.487,1862,1994
Cork,1304,CORK (UNIV.COLL.FARM),23,163800,69600,51.873,-8.522,1940,1982
Cork,5404,CORK MONTENOTTE,94,169300,72600,51.903,-8.441,1984,
Cork,1404,CROOKSTOWN G.S.,61,144200,67300,51.853,-8.806,1942,1990
Cork,3504,CROSSHAVEN G.S.,6,179000,61200,51.802,-8.303,1952,1993
Cork,9006,Charleville_Golf_Club,130,151300,121500,52.339,-8.709,2010,
Cork,3904,Cork_Airport,155,166500,66200,51.842,-8.485,1961,
Cork,1706,DONERAILE G.S.,79,160000,107200,52.209,-8.584,1944,1985
Cork,2804,DONOUGHMORE,200,149200,82100,51.987,-8.737,1948,
Cork,504,DOUGLAS RECTORY,30,170200,68400,51.867,-8.433,1941,1949
Cork,1602,DRIMOLEAGUE G.S.,61,112500,45800,51.655,-9.259,1948,1990
Cork,4502,DRIMOLEAGUE_(Angram),50,110550,44075,51.639,-9.289,1994,
Cork,2902,DRINAGH (CO-OP.LTD.),91,119800,44200,51.64,-9.155,1962,1972
Cork,2202,DRINAGH G.S.,114,120100,44500,51.642,-9.153,1949,1970
Cork,4804,DUNGOURNEY (BALLYEIGHTRAGH),157,194800,83100,52,-8.072,1976,2011
Cork,2402,DUNMANWAY (INCHANADREEN),125,119400,54500,51.736,-9.167,1950,1995
Cork,5302,DUNMANWAY (KEELARAHEEN),137,122100,57300,51.758,-9.124,2000,2010
Cork,1402,DUNMANWAY G.S.,61,123300,52800,51.72,-9.106,1948,1997
Cork,4902,DUNMANWAY_(Demesne),78,123720,53350,51.723,-9.103,1998,
Cork,801,DURRUS G.S.,9,94500,41900,51.618,-9.521,1950,1987
Cork,1303,EYERIES G.S.,47,65000,50300,51.687,-9.952,1950,1970
Cork,804,FARMER'S CROSS (CORK APT.SITE),165,166700,66200,51.842,-8.483,1959,1962
Cork,4806,FERMOY (COOLNAKILLA),213,176400,94900,52.103,-8.34,1978,1992
Cork,3606,FERMOY (MOORE PARK),55,181900,101400,52.158,-8.258,1961,2010
Cork,2606,FERMOY G.S.,31,181000,98400,52.136,-8.273,1944,1980
Cork,6604,FOTA ISLAND (GOLF CLUB),15,179600,71800,51.892,-8.291,1999,
Cork,5806,FREEMOUNT PUMPING STATION,137,139300,113900,52.271,-8.887,1984,
Cork,7104,GERNAPEKA,152,110360,65930,51.837,-9.301,2009,
Cork,902,GLANDORE RECTORY,46,122000,35300,51.559,-9.122,1946,1949
Cork,3404,GLANMIRE (NORTHESK),5,173800,72500,51.903,-8.375,1952,1960
Cork,2306,GLANTAINE G.S.,94,148800,95000,52.103,-8.742,1944,1984
Cork,201,GLENGARRIFF (Ilnacullin),7,93200,54700,51.734,-9.541,1940,
Cork,1701,GLENGARRIFF (ROSSDOON),6,93500,56400,51.75,-9.539,1990,2008
Cork,7206,GLENVILLE (GLENASACK),201,167600,91900,52.074,-8.47,1993,1997
Cork,2406,GLENVILLE G.S.,152,170900,88100,52.04,-8.421,1944,1996
Cork,4802,GOLEEN,48,81850,29510,51.504,-9.702,1997,
Cork,2704,GOUGANEBARRA,183,109500,66000,51.837,-9.308,1948,2009
Cork,3704,INISHCARRA (GEN.STN.),24,154500,72200,51.9,-8.657,1954,
Cork,1002,INNISHANNON G.S.,8,154700,57000,51.758,-8.653,1950,1962
Cork,3802,INNISHANNONN (SKEVENISH),91,153900,59000,51.775,-8.667,1981,1985
Cork,106,KANTURK (CASTLECOR),107,148400,106200,52.203,-8.753,1936,1958
Cork,1406,KANTURK_(Voc.Sch.),104,138400,103300,52.173,-8.9,1944,
Cork,901,KEALKIL G.S.,61,104500,55400,51.739,-9.383,1950,1969
Cork,2001,KEALKILL EAST,73,105900,56200,51.75,-9.357,1993,2008
Cork,1301,KEALKILL(MAUGHANACLEA),152,109500,57000,51.755,-9.307,1978,1990
Cork,2502,KILBRITTAIN G.S.,32,152300,47000,51.671,-8.687,1950,2012
Cork,1601,KILCROHANE (ROSSKERRIG),49,84700,38400,51.585,-9.658,1984,1987
Cork,701,KILCROHANE G.S.,40,81900,37800,51.575,-9.703,1950,1960
Cork,5606,KILDORRERY,107,171300,110600,52.241,-8.419,1984,1994
Cork,4406,KILDORRERY G.S.,94,170800,110400,52.24,-8.423,1944,1962
Cork,4904,KILLEAGH_(Monabraher),98,201000,80600,51.973,-7.985,1976,
Cork,7304,KILLEAGH_Mogeely,39,198135,76630,51.939,-8.023,2014,
Cork,2706,KILWORTH G.S.,69,182900,102800,52.172,-8.25,1944,1975
Cork,102,KINSALE (Nohoval Rectory),54,172400,51700,51.717,-8.4,1940,1945
Cork,3502,KINSALE (RATHBEG),52,163700,51200,51.708,-8.522,1974,1989
Cork,1202,KINSALE (SCILLY HSE.),19,163900,50600,51.704,-8.52,1921,1966
Cork,3102,"KINSALE (ST.JOSEPH,S CONVENT)",43,163700,50100,51.701,-8.522,1963,1974
Cork,202,KINSALE (WALTON COURT),15,169900,49800,51.7,-8.435,1945,1951
Cork,2802,KINSALE_(Voc.Sch.),30,163475,50450,51.704,-8.524,1952,
Cork,8706,Kilworth-Kilally,108,182300,104000,52.186,-8.255,2008,
Cork,7004,LADYSBRIDGE-Parknahyla,70,196500,70300,51.884,-8.05,2009,2016
Cork,2302,LEAP G.S.,32,121400,37200,51.576,-9.134,1949,1970
Cork,5080,LH_FASTNET,10,88400,16400,51.387,-9.602,2000,
Cork,5180,LH_ROCHES_POINT,27,182400,60100,51.789,-8.253,2000,
Cork,4702,LISHEEN,40,103530,31055,51.521,-9.388,1997,2016
Cork,6504,LITTLE ISLAND,15,175600,73700,51.909,-8.353,1999,
Cork,8806,LOMBARDSTOWN-Gortmore,128,144300,95600,52.106,-8.808,2008,
Cork,6206,LOMBARDSTOWN_(Drompeach),134,146300,94200,52.091,-8.784,1985,
Cork,3602,LOUGH HYNE,24,109800,29000,51.504,-9.3,1976,1977
Cork,9604,M.BALLINGEARY_(Meelin-Mtn.),341,114000,71600,51.887,-9.25,1948,
Cork,9704,M.BALLINGEARY_(Tooreenaneen),323,113100,64500,51.822,-9.257,1948,
Cork,9804,M.BALLYVOURNEY_(Knockacommeen),415,116000,80700,51.97,-9.22,1948,
Cork,9602,M.CAPE CLEAR BIRD OBSERVATIONS,15,95300,21900,51.437,-9.504,1985,1988
Cork,9702,M.COOLKELURE (DROMDRASDIL),232,117300,54300,51.734,-9.192,1948,1949
Cork,9802,M.COOLKELURE (PIG'S HILL),320,115700,52000,51.708,-9.218,1948,1949
Cork,9904,M.INCHIGEELAGH_(Pipe-Hill),299,120100,62100,51.803,-9.155,1948,
Cork,9906,M.MALLOW FOREST,229,160200,115100,52.285,-8.583,1995,2007
Cork,9902,M.SCHULL (MT.GABRIEL),396,93200,34800,51.553,-9.537,1948,1955
Cork,2004,MACROOM (GLENDAV FOREST),287,123300,80400,51.969,-9.117,1942,1974
Cork,1604,MACROOM G.S.,75,133700,73200,51.904,-8.958,1942,1996
Cork,7604,MACROOM-Kilnamartyra,165,122365,72330,51.892,-9.124,2017,
Cork,7204,MACROOM_(Cahirbaroule),206,136100,78000,51.951,-8.924,2013,
Cork,5204,MACROOM_(Curraleigh),229,126300,80700,51.971,-9.07,1977,
Cork,3804,MACROOM_(Renaniree),198,120100,72600,51.9,-9.157,1959,
Cork,6606,MALLOW (SEWAGE TREATMENT WORKS),55,157600,98000,52.126,-8.619,1988,2012
Cork,2906,MALLOW (SUGAR FACTORY),52,151900,97400,52.122,-8.702,1950,1985
Cork,9306,MALLOW-Racecourse,53,153130,97550,52.124,-8.684,2013,
Cork,7406,MALLOW_(SpaHouse),61,156500,98700,52.137,-8.634,1996,
Cork,706,MALLOW_Hazelwood,94,155600,104500,52.187,-8.65,1925,
Cork,1506,MEELIN G.S.,238,129700,113000,52.258,-9.024,1944,1979
Cork,6904,MIDLETON (KILVA),72,189800,69300,51.872,-8.142,2005,2006
Cork,4304,MIDLETON (TEMPLENACARRIGA),110,186700,78900,51.958,-8.189,1976,1993
Cork,604,MIDLETON RECTORY,11,188500,73800,51.917,-8.167,1943,1946
Cork,704,MIDLETON S.W.S.,11,185900,72500,51.903,-8.203,1946,1955
Cork,3611,MILFORD G.S.,140,141000,120700,52.334,-8.859,1951,1987
Cork,5511,MILFORD G.S. II,107,141700,121500,52.339,-8.854,1987,2000
Cork,806,MILLSTREET CONVENT,126,126700,90300,52.056,-9.068,1936,1988
Cork,3506,MILLSTREET G.S.,126,127200,90300,52.056,-9.057,1952,1974
Cork,6506,MILLSTREET SEWAGE WORKS,101,127500,91000,52.06,-9.055,1986,
Cork,6906,MILLSTREET_(Coomlogane),113,126000,90900,52.059,-9.074,1991,
Cork,7806,MITCHELSTOWMN (CORK STREET),91,181700,112800,52.267,-8.267,2000,2009
Cork,6706,MITCHELSTOWN (CORRACUNNA),110,182700,114300,52.275,-8.252,1988,1988
Cork,4506,MITCHELSTOWN CONVENT,119,181900,112600,52.259,-8.259,1968,1981
Cork,1806,MITCHELSTOWN G.S.,105,181600,112500,52.258,-8.268,1944,1979
Cork,8206,MITCHELSTOWN_(Glenatluckey),168,183000,109700,52.237,-8.242,2001,
Cork,8906,MUSHERA,300,131315,86540,52.023,-9.001,2010,
Cork,6104,MUSKERRY (GOLF CLUB),46,158000,74300,51.918,-8.606,1995,
Cork,9206,Mallow(Lavally_Lower),145,159281,97560,52.124,-8.59,2013,2016
Cork,575,Moore_Park,46,181900,101400,52.158,-8.258,2003,
Cork,5206,NEWMARKET BALLINATONA P.H.,192,128400,112300,52.255,-9.043,1982,
Cork,1306,NEWMARKET G.S.,157,131800,107400,52.208,-8.992,1944,1986
Cork,7306,NEWMARKET_(New-Street),152,131600,107500,52.209,-9.001,1993,
Cork,3304,PASSAGE WEST G.S.,6,177200,68200,51.859,-8.325,1950,1994
Cork,406,RATHCOOLE G.S.,99,133100,94100,52.09,-8.972,1944,1956
Cork,2506,RATHCORMAC G.S.,55,180600,91600,52.072,-8.283,1944,1995
Cork,1504,RATHDUFF G.S.,138,159800,84800,52.008,-8.585,1942,2013
Cork,3706,RATHLUIRC (FOR.STN.),131,157300,118500,52.317,-8.622,1962,2012
Cork,2711,RATHLUIRC (TRANS.STN.),114,153400,121900,52.342,-8.683,1944,1969
Cork,3210,ROCKCHAPEL,259,122800,116000,52.287,-9.126,2010,
Cork,2410,ROCKCHAPEL (CAPPAPHAUDEEN),256,116000,110800,52.239,-9.225,1982,2009
Cork,210,ROCKCHAPEL G.S.,198,121700,115900,52.287,-9.142,1941,1954
Cork,4202,ROSSCARBERY_(Froe),37,128320,38460,51.59,-9.034,1985,
Cork,6804,ROSTELLAN,15,187500,65400,51.838,-8.175,2003,2003
Cork,1004,Roches Point,43,183100,60100,51.789,-8.24,1877,2008
Cork,1075,Roches_Point,40,182779,60625,51.789,-8.24,2004,
Cork,1302,SCHULL G.S.,3,93000,31700,51.523,-9.538,1948,1985
Cork,3902,SCHULL WHITE CASTLE COTTAGE,59,95000,31400,51.522,-9.508,1982,2007
Cork,4004,SHANAGARRY (IMOKILLY ORCHARDS),15,198100,67300,51.855,-8.023,1966,1972
Cork,1204,SHANAGARRY (KINOITH),24,197700,67300,51.855,-8.033,1910,1964
Cork,5004,SHANAGARRY NORTH,27,197600,67500,51.856,-8.034,1976,
Cork,8306,SHANBALLYMORE,75,167200,107600,52.218,-8.475,2002,2010
Cork,3402,SHERKIN ISLAND,20,100820,25760,51.472,-9.424,1972,
Cork,3202,SKIBBEREEN (VOC.SCH.),24,112400,33900,51.551,-9.258,1964,1980
Cork,2002,SKIBBEREEN G.S.,9,112500,33500,51.542,-9.257,1949,1964
Cork,4302,SKIBEREEN_(WaterTreatmentPlant),12,111990,36460,51.571,-9.269,1988,
Cork,775,SherkinIsland,21,100781,25801,51.472,-9.423,2004,
Cork,1804,TARELTON G.S.,155,132300,65800,51.837,-8.976,1942,1992
Cork,1902,TIMOLEAGUE G.S.,12,147000,43500,51.638,-8.759,1948,1991
Cork,7404,UCC,10,166597,71978,51.893,-8.485,2015,
Cork,5604,UPTON,64,154100,59500,51.785,-8.66,1984,1986
Cork,2404,WATERGRASSHILL,184,176400,84400,52.007,-8.34,1946,1988
Cork,5804,WATERGRASSHILL_(Tinageragh),182,176100,84500,52.008,-8.342,1988,
Cork,4206,YOUGHAL (SERVICE RESERVOIR),79,209400,78000,51.953,-7.858,1944,1962
Cork,3806,YOUGHAL (ST.RAPHAEL'S HOSP.),70,210100,77500,51.95,-7.852,1963,2012
Kerry,610,ABBEYDORNEY G.S.,24,85100,122800,52.34,-9.685,1941,1971
Kerry,1609,ARDFERT (LISCAHANE),30,79100,119200,52.307,-9.771,1980,
Kerry,2009,ARDFERT BALLYMACQUINN,6,76500,126100,52.37,-9.808,1985,
Kerry,709,ARDFERT G.S.,23,78700,120400,52.32,-9.774,1951,1975
Kerry,903,BALLINSKELLIGS G.S.,12,43300,65900,51.821,-10.271,1949,1972
Kerry,4105,BALLINSKELLIGS THE GLEN,40,39400,69100,51.851,-10.325,1985,
Kerry,6006,BALLYDESMOND,201,114900,104000,52.175,-9.24,1985,
Kerry,4306,BALLYDESMOND (TURREENGARRIVE),299,112300,103800,52.174,-9.276,1966,1968
Kerry,810,BALLYDUFF G.S.,36,87000,134800,52.452,-9.658,1941,2000
Kerry,409,BALLYFERRITER G.S.,37,35400,104200,52.159,-10.403,1950,1989
Kerry,809,BALLYHEIGUE G.S.,11,75000,128000,52.387,-9.835,1951,1997
Kerry,1411,BALLYLONGFORD G.S.,9,99900,144400,52.538,-9.472,1941,1995
Kerry,105,BALLYMACELLIGOT RECTORY,39,91900,112100,52.25,-9.583,1929,1944
Kerry,3006,BARNA,226,113200,102400,52.167,-9.267,1950,1985
Kerry,2505,BARRADUFF G.S.,113,108100,90400,52.055,-9.337,1951,1988
Kerry,3605,BAWNASKEHY CASTLEISLAND,52,101700,106400,52.201,-9.436,1982,
Kerry,805,BEAUFORT G.S.,35,87800,91800,52.067,-9.635,1941,1995
Kerry,2003,BLACKWATER FISHERY,40,79200,69200,51.857,-9.752,1999,2000
Kerry,2209,BLENNERVILLE (CURRAGRAIGUE),27,81600,111500,52.239,-9.726,1996,2010
Kerry,1710,BROSNA,134,113300,118600,52.308,-9.269,1947,1992
Kerry,1610,BROSNA (MT.EAGLE),238,111200,112500,52.254,-9.3,1947,2004
Kerry,3110,BROSNA (SCALP),229,111400,114800,52.273,-9.292,2004,2013
Kerry,1409,CAMP (DEELIS),6,66800,110200,52.223,-9.95,1979,1999
Kerry,2109,CAMP (GLANNAGALT),110,67600,107400,52.202,-9.935,1993,1997
Kerry,4805,CAMP (SLIABH),171,67300,106300,52.189,-9.938,1997,1998
Kerry,209,CAMP G.S.,110,69900,109400,52.219,-9.903,1941,1982
Kerry,4205,CAPPANALEA GLENCAR,107,72800,89800,52.041,-9.853,1986,1989
Kerry,1809,CASTLEGREGORY ROUGH POINT,11,62800,119600,52.306,-10.007,1984,2004
Kerry,1205,CASTLEISLAND (COOM),157,107400,109900,52.233,-9.353,1944,
Kerry,2005,CASTLEISLAND (GLOUNTAINE),241,107800,107300,52.206,-9.342,1950,2004
Kerry,4905,CASTLEISLAND (KILMURRY),107,105900,110300,52.235,-9.373,1998,
Kerry,1305,CASTLEISLAND (VOC.SCH.),41,100400,110100,52.233,-9.455,1944,1988
Kerry,2805,CASTLEISLAND O.P.W.,30,100200,109400,52.223,-9.457,1959,1962
Kerry,905,CASTLEMAINE G.S.,8,83900,103300,52.168,-9.692,1941,1986
Kerry,509,CLOGHANE,9,51100,110800,52.224,-10.174,1950,
Kerry,1705,CLOONE LAKE (CARAGH RIVER AREA),122,71200,78400,51.939,-9.871,1949,
Kerry,4505,DEREEN,23,45800,74000,51.891,-10.237,1995,
Kerry,1803,DERRIANA,122,60400,73200,51.889,-10.023,1993,
Kerry,103,DERRYNANE ABBEY,4,52900,58700,51.757,-10.125,1871,1958
Kerry,1909,DINGLE (BAILE NA NGALL),36,38600,108400,52.202,-10.357,1984,
Kerry,4305,DINGLE (MILLTOWN),9,42900,101500,52.139,-10.29,1989,1995
Kerry,2405,DINGLE G.S.,6,44600,100800,52.136,-10.268,1950,1988
Kerry,4705,DOOKS,15,67900,92400,52.067,-9.923,1996,
Kerry,2205,FARRANFORE (CLOUNLEA),177,104000,99900,52.139,-9.402,1950,2005
Kerry,5005,FARRANFORE (KILFELIM),34,96400,106000,52.191,-9.509,2001,2001
Kerry,4405,FARRANFORE (KNOCKADERRY),34,94000,102900,52.167,-9.55,1993,2001
Kerry,2105,FARRANFORE (SCARTAGLIN),213,104700,105000,52.187,-9.389,1950,1971
Kerry,1005,FARRANFORE G.S.,43,94000,103400,52.17,-9.55,1941,1991
Kerry,609,FENIT G.S.,9,72700,115600,52.273,-9.859,1951,1995
Kerry,405,GAP OF DUNLOE,34,88500,81900,51.973,-9.62,1885,
Kerry,5105,GLENBEIGH,72,67000,91300,52.055,-9.937,2005,2013
Kerry,1805,GLENBEIGH G.S.,23,67100,91200,52.054,-9.936,1949,1988
Kerry,5305,GLENBEIGH-Dooks,30,69245,93320,52.073,-9.905,2013,
Kerry,3905,GLENCAR (DREENAGH),69,69100,85200,52.002,-9.904,1983,
Kerry,1605,GLENVICKEE (CARAGH RIVER AREA),128,74300,81700,51.971,-9.824,1949,
Kerry,1903,KENMARE,14,90700,71200,51.876,-9.586,1994,
Kerry,603,KENMARE (DERREEN),24,77100,58900,51.768,-9.775,1878,
Kerry,1503,KENMARE (DOON),9,78300,67000,51.838,-9.767,1953,1993
Kerry,303,KENMARE (DROMORE CASTLE),27,81500,68400,51.853,-9.718,1874,1958
Kerry,203,KENMARE (SHEEN FALLS),15,92500,70000,51.87,-9.557,1916,1993
Kerry,503,KENMARE (VOC.SCH.),12,91000,70400,51.872,-9.583,1955,1955
Kerry,1003,KILGARVAN,44,100900,73400,51.903,-9.437,1949,1969
Kerry,1603,KILGARVAN (GORTNABOUL),34,100800,73100,51.901,-9.438,1969,
Kerry,605,KILLARNEY (B.V.M.PARK),34,97000,85700,52.008,-9.5,1924,1991
Kerry,2905,KILLARNEY (DROM AULINN),32,97100,90200,52.053,-9.5,1966,1972
Kerry,3505,KILLARNEY (FARM CENTRE),49,96000,92100,52.069,-9.517,1976,1992
Kerry,3005,KILLARNEY (GOLF CLUB),9,92800,91100,52.057,-9.558,1967,1972
Kerry,3105,KILLARNEY (GORTDROMAKIERY),181,101200,83800,51.992,-9.437,1968,1995
Kerry,2705,KILLARNEY (GT.SOUTHERN HOTEL),43,97500,90800,52.056,-9.49,1958,1968
Kerry,3405,KILLARNEY (LISSIVIGEEN N.S.),69,100000,89700,52.05,-9.455,1969,1984
Kerry,1105,KILLARNEY (MUCKROSS FOR.STN.),32,97700,88200,52.035,-9.488,1941,1976
Kerry,3205,KILLARNEY (MUCKROSS HSE.),58,97200,86200,52.017,-9.492,1968,
